"zpid","county","propertyTaxRate","timeOnZillowDays","yearBuilt","annualHomeownersInsurance","monthlyHoaFee","favoriteCount","pageViewCount"
57784247,"Hartford County",2.16,224,1986,1613,NA,0,8
57978627,"New Haven County",2.13,224,1968,1596,NA,0,12
58809526,"Fairfield County",1.69,224,1988,1609,NA,0,7
65800112,"Fairfield County",1.69,19,1974,2516,NA,78,1472
174082618,"Hartford County",2.16,224,1984,1617,190,0,16
57253404,"Fairfield County",1.69,225,1961,1638,NA,0,3
57836090,"Litchfield County",1.78,225,1989,1607,150,0,22
57956158,"New Haven County",2.13,225,1910,1617,NA,0,14
58093584,"New London County",1.66,225,1983,1596,NA,0,7
58117085,"Windham County",1.69,225,1951,1616,NA,0,5
58874621,"Litchfield County",1.78,225,1975,1638,NA,0,4
58960925,"New London County",1.66,225,1965,1628,NA,0,11
58965030,"New London County",1.66,225,1999,1659,NA,0,4
58972654,"New London County",1.66,225,1957,1604,NA,0,16
174065160,"Hartford County",2.16,8,1979,2642,NA,183,3419
174075839,"Hartford County",2.16,225,1960,1659,NA,0,7
174141429,"Hartford County",2.16,225,1968,1638,NA,0,3
200393379,"Middlesex County",1.9,225,1945,1680,NA,0,14
339523473,"Hartford County",2.16,225,2020,1638,NA,0,1
2055619723,"Fairfield County",1.69,225,1988,1596,472,0,5
2057401350,"Hartford County",2.16,225,1986,1613,630,0,6
2063613775,"Fairfield County",1.69,225,1984,1638,355,0,4
57717430,"Hartford County",2.16,226,1981,1638,NA,0,14
58825687,"Fairfield County",1.69,226,1985,1638,NA,0,4
60003926,"Hartford County",2.16,226,1984,1617,NA,0,12
60014778,"Hartford County",2.16,226,1955,1604,NA,0,2
177319852,"Fairfield County",1.69,226,1956,1667,NA,0,10
57850469,"Middlesex County",1.9,228,1959,1596,NA,0,9
2055309138,"Hartford County",2.16,228,2020,1638,310,0,7
57266954,"Fairfield County",1.69,229,1982,1621,480,0,2
57810692,"Litchfield County",1.78,229,1982,1596,NA,0,18
58972426,"New London County",1.66,229,1927,1617,NA,0,22
58986544,"Tolland County",2.06,229,1989,1680,NA,0,7
